Professor,Count,Institution
Abhijnan Chakraborty,0.708333333,Indian Institute of Technology Delhi
Abhishek Bichhawat,0.458333333,IIT GANDHINAGAR
Abir Das,0.866666667,Indian Institute of Technology Kharagpur
Adithya Vadapalli,0.583333333,Indian Institute of Technology Kanpur
Amey Karkare,0.285714286,Indian Institute of Technology Kanpur
Amitabha Bagchi,0.2,Indian Institute of Technology Delhi
Angshuman Karmakar,0.333333333,Indian Institute of Technology Kanpur
Anoop Kunchukuttan,1.646428571,Indian Institute of Technology Madras
Ansuman Banerjee,0.166666667,Indian Institute of Technology Kanpur
Arnab K. Paul,0.967857143,KK Birla Goa Campus
Arun Kumar,0.333333333,NIT Rourkela
Ashish Mishra,0.642857143,IIT HYDERABAD
Ashutosh Bhatia,0.166666667,BITS Pilani
Ashutosh Gupta,0.933333333,Indian Institute of Technology Bombay
Ashutosh Modi,1.527777778,Indian Institute of Technology Kanpur
Avinash Gautam,0.2,BITS Pilani
Balagopal Komarath,0.583333333,IIT GANDHINAGAR
Balaraman Ravindran,0.366666667,Indian Institute of Technology Madras
Barsha Mitra,0.392857143,BITS Hyderabad
Bheemarjuna Reddy Tamma,0.333333333,IIT HYDERABAD
Bivas Mitra,0.583333333,Indian Institute of Technology Kharagpur
Chester Rebeiro,0.75,Indian Institute of Technology Madras
Chethan Kamath,0.25,Indian Institute of Technology Bombay
Chittaranjan Hota,0.333333333,BITS Hyderabad
Debasis Samanta,0.666666667,Indian Institute of Technology Kharagpur
Debdeep Mukhopadhyay,1.116666667,Indian Institute of Technology Kharagpur
Devashish Gosain,1.75,KK Birla Goa Campus
Durga Prasad Mohapatra,0.5,NIT Rourkela
Ganesh Ramakrishnan,1.753571429,Indian Institute of Technology Bombay
Gaurav Sharma,0.5,Indian Institute of Technology Kanpur
Gautam Shroff,0.816666667,Indian Institute of Technology Delhi
Harshad Khadilkar,0.533333333,Indian Institute of Technology Bombay
Hemant Rathore,0.5,KK Birla Goa Campus
Jeny Rajan,0.2,NIT Surathkal
Jyothi Vedurada,0.25,IIT HYDERABAD
Kamlesh Tiwari,0.166666667,BITS Pilani
Karthikeyan Bhargavan,0.708333333,Indian Institute of Technology Delhi
Kartik Nagar,0.5,Indian Institute of Technology Madras
Kaustubh Beedkar,0.45,Indian Institute of Technology Delhi
Keerti Choudhary,0.30952381,Indian Institute of Technology Delhi
Kumar Madhukar,0.333333333,Indian Institute of Technology Delhi
Mainack Mondal,0.95,Indian Institute of Technology Kharagpur
Manas Thakur,0.75,Indian Institute of Technology Bombay
Manisha Padala,0.533333333,IIT GANDHINAGAR
Manoj Prabhakaran,0.2,Indian Institute of Technology Bombay
Maunendra Sankar Desarkar,1.416666667,IIT HYDERABAD
Mohit P. Tahiliani,0.2,NIT Surathkal
