Professor,Count,Institution
Abhijnan Chakraborty,0.366666667,Indian Institute of Technology Delhi
Alwyn Roshan Pais,0.5,NIT Surathkal
Amit Dua,0.583333333,BITS Pilani
Amitangshu Pal,0.833333333,Indian Institute of Technology Kanpur
Angshuman Karmakar,0.416666667,Indian Institute of Technology Kanpur
Anil Kumar Tripathi,0.583333333,Indian Institute of Technology (BHU) Varanasi
Ansuman Banerjee,0.5,Indian Institute of Technology Kanpur
Arijit Sur,0.333333333,Indian Institute of Technology Guwahati
Arun Kumar,0.5,NIT Rourkela
Ashish Anand,0.333333333,Indian Institute of Technology Guwahati
Ashish Mishra,0.25,IIT HYDERABAD
Ashutosh Bhatia,0.25,BITS Pilani
Ashutosh Gupta,0.375,Indian Institute of Technology Bombay
Balagopal Komarath,0.333333333,IIT GANDHINAGAR
Balaraman Ravindran,0.7,Indian Institute of Technology Madras
Bhaskar Biswas,1.533333333,Indian Institute of Technology (BHU) Varanasi
Bheemarjuna Reddy Tamma,0.166666667,IIT HYDERABAD
Bivas Mitra,0.166666667,Indian Institute of Technology Kharagpur
C. Siva Ram Murthy,0.833333333,Indian Institute of Technology Madras
Chandan Karfa,0.833333333,Indian Institute of Technology Guwahati
Chester Rebeiro,0.75,Indian Institute of Technology Madras
Chittaranjan Hota,0.333333333,BITS Hyderabad
Debasis Samanta,0.7,Indian Institute of Technology Kharagpur
Debdeep Mukhopadhyay,1.433333333,Indian Institute of Technology Kharagpur
Durga Prasad Mohapatra,0.25,NIT Rourkela
Gaurav Sharma,0.5,Indian Institute of Technology Kanpur
Hemant Rathore,0.583333333,KK Birla Goa Campus
Jeny Rajan,0.866666667,NIT Surathkal
Kamlesh Tiwari,0.25,BITS Pilani
Kaustubh Beedkar,0.166666667,Indian Institute of Technology Delhi
Kotaro Kataoka,0.2,IIT HYDERABAD
Madhu Mutyam,0.25,Indian Institute of Technology Madras
Madhukrishna Priyadarsini,0.25,NIT Tiruchirapalli
Mainack Mondal,0.166666667,Indian Institute of Technology Kharagpur
Manas Thakur,0.2,Indian Institute of Technology Bombay
Maunendra Sankar Desarkar,0.583333333,IIT HYDERABAD
Mayank Swarnkar,0.333333333,Indian Institute of Technology (BHU) Varanasi
Moumita Patra,0.333333333,Indian Institute of Technology Guwahati
Mriganka Sur,0.166666667,Indian Institute of Technology Madras
Nikhil Balaji,0.25,Indian Institute of Technology Delhi
Niloy Ganguly,0.5,Indian Institute of Technology Kharagpur
Pabitra Mitra,0.2,Indian Institute of Technology Kanpur
Pallab Dasgupta,1.033333333,Indian Institute of Technology Kharagpur
Partha Pratim Das,0.45,Indian Institute of Technology Kharagpur
Pinaki Mitra,0.2,Indian Institute of Technology Guwahati
Prasenjit Chanak,0.833333333,Indian Institute of Technology (BHU) Varanasi
Pratik Chattopadhyay,0.333333333,Indian Institute of Technology (BHU) Varanasi
Praveen Tammana,0.2,IIT HYDERABAD
Priyanka Bagade,1,Indian Institute of Technology Kanpur
Raghunath Reddy Madireddy,0.5,BITS Hyderabad
Rahul Ranjan,0.2,Indian Institute of Technology Delhi
Rajat Subhra Chakraborty,0.7,Indian Institute of Technology Kharagpur
Rajesh Kumar,0.976190476,KK Birla Goa Campus
Rajya Lakshmi Davuluri,0.333333333,BITS Pilani
Rameshwar Pratap,1.283333333,IIT HYDERABAD
Sai Krishna Mothku,0.833333333,NIT Tiruchirapalli
Sanasam Ranbir Singh,0.333333333,Indian Institute of Technology Guwahati
Sanjay K. Sahay,0.583333333,KK Birla Goa Campus
Sanjay Kumar Singh,1.116666667,Indian Institute of Technology (BHU) Varanasi
Sanjit A. Seshia,0.642857143,Indian Institute of Technology Bombay
Sarani Bhattacharya,0.2,Indian Institute of Technology Kharagpur
Sayan Ranu,0.333333333,Indian Institute of Technology Delhi
Shamik Sural,0.25,Indian Institute of Technology Kharagpur
Sharat Chandra,0.166666667,Indian Institute of Technology Bombay
Shashank Srivastava,1.166666667,Indian Institute of Technology Kanpur
Shirshendu Das,0.5,IIT HYDERABAD
Shridhar Sanshi,0.333333333,NIT Surathkal
Snehanshu Saha,0.366666667,KK Birla Goa Campus
Sonika Chandrakant Rathi,0.166666667,BITS Pilani
Sougata Sen,0.2,KK Birla Goa Campus
Soumen Chakrabarti,0.2,Indian Institute of Technology Bombay
Sourangshu Bhattacharya,0.25,Indian Institute of Technology Kharagpur
Sourav Kanti Addya,0.583333333,NIT Surathkal
Srikanta Bedathur,0.5,Indian Institute of Technology Delhi
Sriraam Natarajan,0.25,Indian Institute of Technology Madras
Subodh Kumar,0.666666667,Indian Institute of Technology Delhi
Sudeshna Kolay,0.5,Indian Institute of Technology Kharagpur
Sudip Misra,7.7,Indian Institute of Technology Kharagpur
Sujoy Bhore,0.833333333,Indian Institute of Technology Bombay
Sukhendu Das,0.333333333,Indian Institute of Technology Madras
Sukumar Nandi,1.183333333,Indian Institute of Technology Guwahati
Sumit Gulwani,0.577380952,Indian Institute of Technology Kanpur
Sundaresan Raman,0.111111111,BITS Pilani
Sutanu Chakraborti,0.5,Indian Institute of Technology Madras
Sutanu Gayen,0.2,Indian Institute of Technology Kanpur
Tarun Mangla,0.142857143,Indian Institute of Technology Delhi
Tathagata Ray,0.142857143,BITS Hyderabad
Tejasvi Alladi,0.5,BITS Pilani
Urbi Chatterjee,0.533333333,Indian Institute of Technology Kanpur
Vijay Ganesh,0.25,Indian Institute of Technology Bombay
Vishal Gupta,0.45,BITS Pilani
Yogesh Kumar Meena,0.783333333,IIT GANDHINAGAR
