,Institution,Count,Professors
1,Indian Institute of Technology Bombay,14.87261905,"Ashutosh Gupta,Chethan Kamath,Ganesh Ramakrishnan,Harshad Khadilkar,Manas Thakur,Manoj Prabhakaran,Nutan Limaye,Paul Gastin,Preethi Jyothi,Rohit Gurjar,Rushikesh K. Joshi,Sanjit A. Seshia,Soumen Chakrabarti,Sruthi Sekar,Sujoy Bhore,Sunita Sarawagi,Supratik Chakraborty,Swaprava Nath,Vijay Ganesh"
2,Indian Institute of Technology Kanpur,13.99908009,Adithya VadapalliAmey KarkareAngshuman KarmakarAnsuman BanerjeeAshutosh ModiGaurav SharmaNisheeth SrivastavaPabitra MitraPiyush RaiPreeti MalakarPriyanka BagadeRajat MittalShashank SrivastavaSnigdha ChaturvediSruti Srinivasa RagavanSumit GulwaniSunil SimonSutanu GayenVinay P. Namboodiri
3,Indian Institute of Technology Kharagpur,13.90119048,"Abir Das,Bivas Mitra,Debasis Samanta,Debdeep Mukhopadhyay,Mainack Mondal,Monosij Maitra,Niloy Ganguly,Pallab Dasgupta,Partha Pratim Das,Rajat Subhra Chakraborty,Saptarshi Ghosh,Sarani Bhattacharya,Satrajit Ghosh,Shamik Sural,Somak Aditya,Sourangshu Bhattacharya,Sudeshna Kolay,Sudeshna Sarkar,Sudip Misra"
4,Indian Institute of Technology Delhi,9.927380952,"Abhijnan Chakraborty,Amitabha Bagchi,Gautam Shroff,Karthikeyan Bhargavan,Kaustubh Beedkar,Keerti Choudhary,Kumar Madhukar,Nikhil Balaji,Parag Singla,Prem Kumar Kalra,Rijurekha Sen,Rohan Paul,Sayan Ranu,Srikanta Bedathur,Subodh Kumar,Tarun Mangla,Yogish Sabharwal"
5,Indian Institute of Technology Madras,9.927380952,"Anoop Kunchukuttan,Balaraman Ravindran,Chester Rebeiro,Kartik Nagar,Pratyush Kumar,Raj Dabre,Shay Kutten,Shweta Agrawal,Sriraam Natarajan,Sukhendu Das,Yadu Vasudev"
6,KK Birla Goa Campus,6.566269841,"Arnab K. Paul,Devashish Gosain,Hemant Rathore,Neena Goveas,Rajesh Kumar,Sanjay K. Sahay,Siddharth Gupta,Sougata Sen,Swaroop Joshi"
7,IIT HYDERABAD,3.726190476,"Ashish Mishra,Bheemarjuna Reddy Tamma,Jyothi Vedurada,Maunendra Sankar Desarkar,Naveen Sivadasan,Nitin Saurabh,Rameshwar Pratap"
8,IIT GANDHINAGAR,3.491666667,"Abhishek Bichhawat,Balagopal Komarath,Manisha Padala,Neeldhara Misra,Shanmuganathan Raman,Shouvick Mondal,Yogesh Kumar Meena"
9,BITS Pilani,2.427777778,"Ashutosh Bhatia,Avinash Gautam,Kamlesh Tiwari,Tanmay Mahapatra,Vishal Gupta,Yashvardhan Sharma"
10,Indian Institute of Technology Guwahati,2.366666667,"Rashmi Dutta Baruah,Sanasam Ranbir Singh,Sukumar Nandi"
11,BITS Hyderabad,1.119047619,"Barsha Mitra,Chittaranjan Hota,Nikumani Choudhury"
12,NIT Rourkela,0.833333333,"Arun Kumar,Durga Prasad Mohapatra"
13,Indian Institute of Technology (BHU) Varanasi,0.5,"Sanjay Kumar Singh,Sukomal Pal"
14,NIT Surathkal,0.4,"Jeny Rajan,Mohit P. Tahiliani"
15,NIT Tiruchirapalli,0.1,Ravin Balakrishnan
