Faculty,College,scholar_name
Dr. Anil Kumar Tripathi,Indian Institute of Technology (BHU) Varanasi,Anil Kumar Tripathi
Dr. Rajeev Srivastava,Indian Institute of Technology (BHU) Varanasi,DR. RAJEEV KUMAR SRIVASTAVA
Dr. Sanjay Kumar Singh,Indian Institute of Technology (BHU) Varanasi,Sanjay Kumar Singh
Dr. Anil Kumar Singh,Indian Institute of Technology (BHU) Varanasi,Anil kumar singh
Dr. Bhaskar Biswas,Indian Institute of Technology (BHU) Varanasi,Bhaskar Biswas
Dr. Bidyut Kumar Patra,Indian Institute of Technology (BHU) Varanasi,Bidyut  Kr. Patra
Dr. Hari Prabhat Gupta,Indian Institute of Technology (BHU) Varanasi,Dr. Hari Prabhat Gupta
Dr. Ravi Shankar Singh,Indian Institute of Technology (BHU) Varanasi,Deependra Singh
Dr. Ravindranath Chowdary C,Indian Institute of Technology (BHU) Varanasi,Ravindranath Chowdary C
Dr. Ruchir Gupta,Indian Institute of Technology (BHU) Varanasi,Dr. Ruchir Gupta
Dr. Sukomal Pal,Indian Institute of Technology (BHU) Varanasi,Sukomal Pal
Dr. Tanima Dutta,Indian Institute of Technology (BHU) Varanasi,Dr. Tanima Dutta
Dr. Ajay Pratap,Indian Institute of Technology (BHU) Varanasi,Error
Dr. Amrita Chaturvedi,Indian Institute of Technology (BHU) Varanasi,Dr. Amrita Chaturvedi
Dr. Mayank Swarnkar,Indian Institute of Technology (BHU) Varanasi,Mayank Swarnkar
Dr. Obbattu Sai Lakshmi Bhavana,Indian Institute of Technology (BHU) Varanasi,Sai Lakshmi Bhavana Obbattu
Dr. Prasenjit Chanak,Indian Institute of Technology (BHU) Varanasi,Prasenjit Chanak
Dr. Pratik Chattopadhyay,Indian Institute of Technology (BHU) Varanasi,Pratik Chattopadhyay
Dr. Vignesh Sivaraman,Indian Institute of Technology (BHU) Varanasi,Vignesh Sivaraman
Dr. Vinayak Shrivastava,Indian Institute of Technology (BHU) Varanasi,Vinayak Narain Srivastava
Dr. Sanjay Kumar Singh,Indian Institute of Technology (BHU) Varanasi,Sanjay Kumar Singh
Shweta Agrawal,Indian Institute of Technology Madras,Shweta Agrawal
Akanksha Agrawal,Indian Institute of Technology Madras,Akanksha Agrawal
